schlcode,cohsize,classize,tipuach,grade,coh_id,num_classrooms,avgscore
51276,102,25,14,4,1528,4,62.424999
51276,102,33,14,4,1528,4,69.342903
51277,95,30,13,4,1530,3,71.834999
51277,95,31,13,4,1530,3,62.939999
51277,95,34,13,4,1530,3,67.764091
51278,68,34,0,4,1532,2,75.634995
51278,68,34,0,4,1532,2,66.354996
51279,78,27,7,4,1534,3,84.845001
51279,78,26,7,4,1534,3,78.019997
51279,78,26,7,4,1534,3,81.979996
51281,56,31,13,4,1536,2,74.035004
51281,56,25,13,4,1536,2,61.77
51282,83,28,12,4,1538,3,66.154999
51282,83,27,12,4,1538,3,61
51282,83,27,12,4,1538,3,73.645134
51283,106,40,15,4,1540,4,71.839996
51283,106,40,15,4,1540,4,70.514999
51287,70,35,7,4,1542,2,68.184998
51287,70,35,7,4,1542,2,65.25
51288,51,23,21,4,1544,2,62.129997
51288,51,28,21,4,1544,2,60.920403
51289,40,40,14,4,1546,1,60.514999
51290,94,32,1,4,1548,3,84.760002
51290,94,31,1,4,1548,3,83.455002
51290,94,31,1,4,1548,3,85.311172
51291,63,26,31,4,1550,3,63.130001
51291,63,24,31,4,1550,3,64.860001
51295,47,25,3,4,1552,2,75.580002
51295,47,22,3,4,1552,2,78
51296,109,34,18,4,1554,4,77.345001
51296,109,32,18,4,1554,4,82.050003
51296,109,35,18,4,1554,4,79.284576
51297,81,33,9,4,1556,3,70.184998
51297,81,37,9,4,1556,3,69.665001
51298,91,28,8,4,1558,3,68.805
51298,91,29,8,4,1558,3,70.889999
51298,91,34,8,4,1558,3,58.675003
51299,32,32,3,4,1560,1,75.5
51300,80,40,5,4,1562,2,78
51300,80,40,5,4,1562,2,72.915001
51302,102,34,10,4,1564,3,63.514999
51302,102,34,10,4,1564,3,69.93
51302,102,34,10,4,1564,3,58.103825
51303,72,40,13,4,1566,2,67.315002
51303,72,36,13,4,1566,2,64.214996
51304,111,35,15,4,1568,4,71.410004
51304,111,35,15,4,1568,4,78.350006
51304,111,7,15,4,1568,4,72.410004
51305,51,25,1,4,1570,2,80.82
51305,51,26,1,4,1570,2,72.259995
51307,81,25,0,4,1572,3,80.285004
51307,81,27,0,4,1572,3,85.020004
51307,81,29,0,4,1572,3,81.6222
51308,36,28,14,4,1574,2,59.52
51309,125,37,5,4,1576,4,72.43
51309,125,38,5,4,1576,4,72.354996
51309,125,38,5,4,1576,4,76.458893
51310,72,34,14,4,1578,2,60.169998
51310,72,38,14,4,1578,2,58.830002
51311,101,33,5,4,1580,3,57.25
51311,101,34,5,4,1580,3,63.614998
51311,101,34,5,4,1580,3,63.904999
51312,71,29,23,4,1582,3,72.775002
51312,71,33,23,4,1582,3,66.580002
51313,68,33,9,4,1584,2,69.599998
51313,68,35,9,4,1584,2,65.352356
